cell_line_name,stripped_cell_line_name,DepMap_ID
NCI-H1963,NCIH1963,ACH-000729
HCC-2279,HCC2279,ACH-000731
PE/CA-PJ41 (clone D2),PECAPJ41CLONED2,ACH-000732
NCI-H1838,NCIH1838,ACH-000733
JHH-5,JHH5,ACH-000734
PE/CA-PJ49,PECAPJ49,ACH-000735
SNU-601,SNU601,ACH-000736
NCI-H1385,NCIH1385,ACH-000737
GB-1,GB1,ACH-000738
Hep G2,HEPG2,ACH-000739
A-253,A253,ACH-000740
U-BLC1,UBLC1,ACH-000741
NA,DM3,ACH-000742
COR-L95,CORL95,ACH-000743
NCI-H1623,NCIH1623,ACH-000744
MOLP-8,MOLP8,ACH-000745
GSS,GSS,ACH-000746
NCI-H1703,NCIH1703,ACH-000747
SJSA-1,SJSA1,ACH-000748
DMS 273,DMS273,ACH-000749
OCI-M1,OCIM1,ACH-000751
NCI-H196,NCIH196,ACH-000752
JMSU-1,JMSU1,ACH-000753
L-428,L428,ACH-000754
HCC2218,HCC2218,ACH-000755
GI-1,GI1,ACH-000756
A427,A427,ACH-000757
